X,Y,Z
6.679,20.74,207.101
6.679,20.839,207.101
6.679,20.938,207.101
6.679,21.038,207.101
6.679,21.137,207.101
6.679,21.236,207.101
6.679,21.335,207.101
6.679,21.435,207.101
6.679,21.534,207.101
6.679,21.633,207.101
6.679,21.732,207.101
6.679,21.831,207.101
6.679,21.931,207.101
6.679,22.03,207.101
6.679,22.129,207.101
6.679,22.328,207.101
6.782,22.457,207.376
6.782,22.556,207.376
6.679,22.625,207.101
6.679,22.725,207.101
6.782,22.854,207.376
6.782,22.953,207.376
6.782,23.053,207.376
6.782,23.152,207.376
6.782,23.252,207.376
6.782,23.351,207.376
6.782,23.45,207.376
6.782,23.55,207.376
6.782,23.649,207.376
6.782,23.748,207.376
6.782,23.848,207.376
6.782,23.947,207.376
6.885,24.178,207.651
6.885,24.377,207.651
6.885,24.476,207.651
6.885,24.775,207.651
6.989,24.808,207.927
6.989,24.907,207.927
6.989,25.007,207.927
6.989,25.206,207.927
6.989,25.406,207.927
6.989,25.505,207.927
6.989,25.605,207.927
6.989,25.704,207.927
6.989,25.804,207.927
6.989,25.904,207.927
6.989,26.003,207.927
6.989,26.103,207.927
6.989,26.203,207.927
6.989,26.302,207.927
6.989,26.402,207.927
6.885,26.566,207.651
6.989,26.601,207.927
6.885,26.964,207.651
6.885,27.063,207.651
6.885,27.461,207.651
6.989,27.498,207.927
6.989,27.697,207.927
6.989,27.797,207.927
6.989,27.896,207.927
6.989,27.996,207.927
6.989,28.195,207.927
6.989,28.394,207.927
7.093,28.532,208.203
7.093,28.731,208.203
7.093,28.831,208.203
7.093,29.031,208.203
7.093,29.131,208.203
7.093,29.23,208.203
7.197,29.369,208.481
7.197,29.469,208.481
7.197,29.569,208.481
7.093,29.629,208.203
7.197,29.669,208.481
7.093,29.729,208.203
7.093,29.829,208.203
6.989,29.889,207.927
7.093,30.028,208.203
7.093,30.128,208.203
7.093,30.328,208.203
7.093,30.427,208.203
7.093,30.527,208.203
7.093,30.627,208.203
7.093,30.727,208.203
7.093,30.826,208.203
7.093,30.926,208.203
7.093,31.026,208.203
7.093,31.126,208.203
7.093,31.226,208.203
7.197,31.367,208.481
7.197,31.467,208.481
7.197,31.567,208.481
7.197,31.767,208.481
7.197,31.866,208.481
7.197,31.966,208.481
7.197,32.066,208.481
7.197,32.166,208.481
7.197,32.266,208.481
7.197,32.366,208.481
7.197,32.466,208.481
